in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,out:SE,out:Mass_CSOptim,out:Deflection_CSOptim,out:SE_CSOptim,out:HasFailed_CSOptim,img
1.2,0.6,-2,0.012083,1407.23494,0.006041,125.607446,0.093427,0.046714,False,dy_41.2_dx_00.6_dy_0-2.png
1.6,0.6,-2,0.010515,1492.503713,0.005257,137.310882,0.070733,0.035366,False,dy_41.6_dx_00.6_dy_0-2.png
2,0.6,-2,0.009772,1583.016011,0.004886,164.518374,0.053555,0.026777,False,dy_42_dx_00.6_dy_0-2.png
-2,0.8,-2,0.007969,1025.961579,0.003985,25.902674,0.428085,0.214042,False,dy_4-2_dx_00.8_dy_0-2.png
-1.6,0.8,-2,0.008843,1043.258359,0.004422,32.910703,0.364526,0.182263,False,dy_4-1.6_dx_00.8_dy_0-2.png
-1.2,0.8,-2,0.010451,1066.096633,0.005225,41.396493,0.425431,0.212716,False,dy_4-1.2_dx_00.8_dy_0-2.png
-0.8,0.8,-2,0.013376,1095.961413,0.006688,66.519571,0.389217,0.194608,False,dy_4-0.8_dx_00.8_dy_0-2.png
-0.4,0.8,-2,0.017963,1134.590707,0.008981,90.432041,0.498781,0.249391,False,dy_4-0.4_dx_00.8_dy_0-2.png
0,0.8,-2,0.021556,1183.445881,0.010778,122.171628,0.363231,0.181616,False,dy_40_dx_00.8_dy_0-2.png
0.4,0.8,-2,0.019599,1243.102727,0.0098,179.247155,0.294237,0.147119,False,dy_40.4_dx_00.8_dy_0-2.png
0.8,0.8,-2,0.01529,1312.957542,0.007645,137.151255,0.139482,0.069741,False,dy_40.8_dx_00.8_dy_0-2.png
1.2,0.8,-2,0.012269,1391.509423,0.006134,125.33465,0.093762,0.046881,False,dy_41.2_dx_00.8_dy_0-2.png
1.6,0.8,-2,0.010646,1476.945769,0.005323,137.050868,0.070924,0.035462,False,dy_41.6_dx_00.8_dy_0-2.png
2,0.8,-2,0.009878,1567.599002,0.004939,164.269111,0.053663,0.026832,False,dy_42_dx_00.8_dy_0-2.png
-2,1,-2,0.008713,942.650314,0.004357,24.455268,0.342932,0.171466,False,dy_4-2_dx_01_dy_0-2.png
